created_at,id,text
2021-06-03T00:02:23.000Z,1400241417612562432,Tem que ser ruivo para fazer comercial do Itaú?
2021-06-02T23:55:29.000Z,1400239681552457733,"Itaú acha que me engana

Aí aí"
2021-06-02T23:55:17.000Z,1400239627961835520,"Esse gerentes do Itaú estão doidos pra me enfiar um empréstimo no rabo, só pq é consignado pela empresa 🤦🏽‍♀️
Gerente já me ligou 3x em 6 meses oferecendo kkk
Talvez se eu quisesse, ou estivesse realmente precisando do dinheiro eles não disponibilizariam né 🙄"
2021-06-02T23:50:33.000Z,1400238437974806529,"A pessoa que teve que ligar pra Net, pra Oi e pra Itaú no mesmo dia quer mto socar a cara de alguém"
2021-06-02T23:49:22.000Z,1400238142393835524,"O presidente aparecer na TV pra falar que a Caixa deu lucro enquanto milhares de pequenos negócios não conseguiram empréstimo ano passado e quebraram é um escárnio!
Quer ser presidente do Itaú muda o sobrenome pra Setúbal, fdp, não concorre em eleição presidencial"
2021-06-02T23:48:50.000Z,1400238007702196224,Era só uma bike do Itaú nesse trânsito
2021-06-02T23:45:50.000Z,1400237251154546690,Atualização do @itau para iPhones! Deixa eu pagar todas as contas antes porque a chance de dar merda é de 110%. https://t.co/le1QiHuUJA
2021-06-02T23:45:34.000Z,1400237182653284358,Alguém liga no Itaú e Santander pra resolver burocracia pra mim pf?????
2021-06-02T23:43:59.000Z,1400236786236985346,"Muito mais stonks explodi uns Santander, Itaú"
2021-06-02T23:32:40.000Z,1400233935750193153,"Itaú aumentou muito o limite do cartão. Triplicou o valor. Porra, que loucura. Tão dodói da cabeça."
2021-06-02T23:31:02.000Z,1400233528625872897,Itaú doido pra me roubar do Santander me dando mundos e fundos pra eu me endividar com abundância https://t.co/iqJdDFRLe2
2021-06-02T23:30:39.000Z,1400233428294029312,"Essa propaganda do Itaú onde o cara não sabe responder o nome de solteira da mãe me lembra mto O Estrangeiro do Camus, onde um cara comete um crime e sua humanidade é questionada após não saber a idade da sua mãe. No final ele morre. Recomendo."
2021-06-02T23:30:21.000Z,1400233355451502594,ECONOMIA | Itaú prevê executar compra de fatia adicional da XP no início de 2022 - https://t.co/Pk936RqcZ1 https://t.co/1sgkjVa1nE
2021-06-02T23:22:13.000Z,1400231309721616385,ai cacete td q eu precisava era desse limite itau obg meu anjo
2021-06-02T23:20:18.000Z,1400230825745129479,a do itau akksksksksks https://t.co/gZksWtLtEY
2021-06-02T23:17:30.000Z,1400230122263924747,O comercial do itaú falando de  proteger o meio ambiente com as mina comendo hamburguer 😂😂😅. Se depender deles o Meio Ambiente ta fumado. (Abrir espaço pra pastagem é o maior motivo do desmatamento!)
2021-06-02T23:15:32.000Z,1400229626757144579,"#JornalNacional #JN 
Boicotemos @itau , @guarana   @vivobr marcas que patrocinam a @CBF_Futebol e #CopaAmerica (cova América)"
2021-06-02T23:14:47.000Z,1400229438592360451,"Olha tem hora que a paciência vai pro buraco. A vereadora do Itaú vai lá na tribuna pra fizer que “temos que ouvir o mercado”.
A longo prazo o município vai perder R$ 1 bilhão. Esse projeto é só negócio para o setor imobiliário. E ainda assim ela quer ouvir o mercado. Ouvir o q?"
2021-06-02T23:14:08.000Z,1400229275261976580,Tenho cara de bradesco ou do itau????
2021-06-02T23:10:53.000Z,1400228453971120130,Essa conversa entre os 2 co-presidentes do conselho do Itau é de uma franqueza fenomenal. Eles admitem que estao lascados na competicao x as fintechs. Ate o regulador esta contra os bancoes. https://t.co/zDhiM1bZCZ
2021-06-02T23:09:40.000Z,1400228147887542272,"O pior erro da minha vida foi abrir uma conta no Itaú. Pense num banco de merda, que só dá estresse e dor de cabeça"
2021-06-02T23:02:33.000Z,1400226357481717761,"Na creditas não teve aquela folga da semana inteira, geral trabalhou. No Itaú teve. Logo, trabalhei na semana dos feriados antecipados e vou trabalhar também nos feriados 🤡🤡🤡🤡🤡🤡🤡"
2021-06-02T23:02:21.000Z,1400226309972893704,"o iti é um app pra vc pagar pessoas, estabelecimentos e aproveitar vários descontos. é fácil e seguro! baixe agora: https://t.co/GZUsuihZ04"
2021-06-02T23:00:18.000Z,1400225794333581321,"Itaú projeta compra de fatia adicional na XP para 2022
https://t.co/g3bBOIQbRX

#ForbesBR #ForbesMoney #ForbesBrasil #Forbes https://t.co/WnDwQH1ry7"
2021-06-02T23:00:14.000Z,1400225773907320833,Vou ter q voltar a usar a conta do Itaú... 🤡
2021-06-02T23:00:10.000Z,1400225757289406466,"consegui resolver o negócio do app do Itaú, graças a Deus consegui fazer meu pix"
2021-06-02T22:55:25.000Z,1400224563057856515,Fiz um pix de 100 prata da nubank pro Itaú e até agora não caiu
2021-06-02T22:54:28.000Z,1400224323072311301,"Quatro meses depois de assumir o comando do maior banco do País, Milton Maluhy Filho lidera uma série de mudanças na operação sob os mantras da tecnologia, da velocidade, da obsessão pelo cliente e da transformação cultural: https://t.co/MQ0KPk3Cg8"
2021-06-02T22:54:15.000Z,1400224269242675208,"Todo dia passando raiva com Itaú, que ódio!!!!"
2021-06-02T22:46:19.000Z,1400222274469433346,"Candidatos precisam possuir a certificação CPA10 ou CPA20 da Anbima.
https://t.co/kfk1vRlh4N"
